ID,Date,CustomerID,ProductID,Quantity,UnitPrice,Revenue,Category,SupplierID,FactSales_DateKey,FactSales_CustomerKey,FactSales_ProductKey,FactSales_Quantity,FactSales_Revenue,DimDate_DateKey,DimDate_Date,DimDate_Day,DimDate_Month,DimDate_Year,DimCustomer_CustomerKey,DimCustomer_FirstName,DimCustomer_LastName,DimCustomer_Gender,DimCustomer_Age,DimCustomer_City,DimCustomer_Country,DimProduct_ProductKey,DimProduct_ProductName,DimProduct_Category,DimProduct_SupplierID,DimProduct_UnitPrice,FirstName,LastName,Gender,Age,City,EmployeeID,Shift,HoursWorked,Recency,Frequency,Monetary,ProfitMargin
28,7/10/2021,1824,218,10,11.47,102.35,Beauty,314,7/10/2021,2646,252,2,368.67,28,7/10/2021,Monday,December,1983,5341,Alexis,Lee,Male,38,Lahore,Pakistan,265,game,Home Decor,353,47.86,Barbara,Morris,Female,54,Islamabad,407,Night,4,37,1,124.27,0.48
29,6/23/2016,2175,287,9,5.4,68.26,Beauty,317,6/23/2016,5773,291,9,233.45,29,6/23/2016,Tuesday,September,2009,2700,Richard,Melton,Female,32,Lahore,Pakistan,218,cost,Electronics,320,34.35,Catherine,Lee,Female,20,Karachi,423,Day,12,98,9,510.44,0.46
30,4/4/2016,7426,276,7,19.97,249.12,Beauty,309,4/4/2016,5250,253,4,146.5,30,4/4/2016,Wednesday,January,1974,8240,Marcus,Foster,Male,23,Lahore,Pakistan,298,important,Clothing,339,28.88,Olivia,Wilson,Female,65,Islamabad,431,Day,12,70,9,897.06,0.2
31,7/2/2021,9893,225,2,12.64,259.64,Electronics,327,7/2/2021,7411,257,9,104.7,31,7/2/2021,Sunday,July,2006,3480,Ricardo,Cole,Male,39,Faisalabad,Pakistan,202,young,Beauty,329,18.22,Susan,Garrett,Female,61,Lahore,408,Night,12,69,7,203.31,0.11
32,2/5/2015,8951,211,2,27.58,371.99,Beauty,342,2/5/2015,9402,299,2,263.93,32,2/5/2015,Sunday,November,2002,8763,Jeremy,Davis,Male,70,Islamabad,Pakistan,210,big,Beauty,394,40.04,Patrick,Mckay,Female,57,Faisalabad,411,Day,5,323,4,596.35,0.26
33,3/17/2018,4568,222,10,12.2,246.67,Electronics,396,3/17/2018,9066,201,10,190.25,33,3/17/2018,Thursday,February,2001,9375,Manuel,Salazar,Male,69,Faisalabad,Pakistan,242,but,Electronics,309,23.27,Kerry,Dean,Female,59,Faisalabad,482,Day,10,104,4,372.36,0.38
34,4/2/2023,5997,252,2,39.42,196.62,Beauty,300,4/2/2023,1326,298,1,420.25,34,4/2/2023,Sunday,August,2008,6161,Charlotte,Wolfe,Male,42,Islamabad,Pakistan,257,your,Electronics,361,13.72,Jennifer,Richardson,Female,46,Lahore,438,Night,7,27,6,497.87,0.22
35,6/15/2016,1335,257,1,22.9,287.8,Electronics,337,6/15/2016,9465,296,10,290.88,35,6/15/2016,Friday,June,1989,7202,Todd,Smith,Male,18,Karachi,Pakistan,211,share,Clothing,313,10.71,Melissa,Skinner,Male,34,Faisalabad,478,Night,5,231,2,841.4,0.31
36,4/24/2018,9884,274,3,35.7,187.28,Clothing,338,4/24/2018,2338,259,3,325.26,36,4/24/2018,Tuesday,July,2016,8463,Randy,Ramirez,Female,61,Faisalabad,Pakistan,223,value,Electronics,342,23.37,Sheila,Jones,Male,53,Islamabad,499,Day,7,131,10,363.13,0.32
37,3/10/2021,6247,296,5,40.01,357.13,Home Decor,398,3/10/2021,4361,248,2,267.96,37,3/10/2021,Friday,September,2021,7296,Walter,King,Male,57,Faisalabad,Pakistan,226,will,Electronics,366,16.54,Dean,Romero,Female,64,Lahore,406,Night,11,110,4,326.14,0.33
38,9/15/2019,1044,214,5,26.68,87.84,Beauty,334,9/15/2019,6360,221,9,157.94,38,9/15/2019,Tuesday,May,2022,5987,Robert,Martin,Female,53,Karachi,Pakistan,218,budget,Home Decor,340,48.37,Shannon,Miller,Female,61,Lahore,470,Day,7,151,5,471.07,0.16
39,7/14/2023,3204,246,4,24.53,213.69,Clothing,393,7/14/2023,7029,281,2,125.28,39,7/14/2023,Wednesday,September,1974,9768,Theresa,Kemp,Male,68,Islamabad,Pakistan,220,special,Home Decor,348,40.81,Gary,Colon,Male,18,Faisalabad,413,Day,9,322,5,757.04,0.36
40,8/12/2021,4484,243,8,42.37,331.09,Home Decor,338,8/12/2021,5326,220,5,339.15,40,8/12/2021,Friday,April,2011,2363,Rachel,Rocha,Male,46,Lahore,Pakistan,219,wind,Home Decor,384,39.45,James,Clark,Male,22,Lahore,408,Night,7,237,6,544.33,0.49
41,9/12/2021,1550,294,7,43.55,150.68,Home Decor,396,9/12/2021,4307,216,4,163.48,41,9/12/2021,Thursday,November,1983,2136,Ronald,Dennis,Male,36,Islamabad,Pakistan,238,like,Electronics,311,32.62,Gilbert,Foley,Male,53,Faisalabad,464,Day,10,188,4,515.13,0.46
42,4/15/2019,1637,217,7,35.73,454.68,Electronics,343,4/15/2019,2952,299,3,66.5,42,4/15/2019,Sunday,May,1981,9540,Sarah,Bernard,Male,60,Karachi,Pakistan,268,hope,Electronics,335,36.24,Douglas,Ortiz,Male,24,Faisalabad,420,Day,10,29,7,274.73,0.39
43,4/15/2024,7505,260,6,21.06,484,,327,4/15/2024,1821,237,1,157.37,43,4/15/2024,Tuesday,September,1998,4492,George,Novak,Male,57,Islamabad,Pakistan,238,with,Clothing,306,22.95,Caitlin,Solis,Male,18,Faisalabad,482,Day,11,351,1,709.01,0.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4/28/2016,1521,210,9,47.58,438.94,Clothing,389,4/28/2016,3329,265,7,180.55,44,4/28/2016,Saturday,November,2020,3624,Cody,Ferguson,Female,64,Islamabad,Pakistan,268,anything,Electronics,346,13.19,James,Welch,Male,61,Lahore,463,Day,7,217,9,254.64,0.23
45,12/16/2021,5856,252,10,35.07,255.36,Clothing,366,12/16/2021,8792,229,4,325.38,45,12/16/2021,Friday,December,2009,8627,Steven,Jackson,Male,52,Faisalabad,Pakistan,219,human,Clothing,394,9.72,Paula,Rivas,Male,51,Faisalabad,497,Day,10,211,3,507.43,0.34
46,7/29/2021,2910,200,6,8.45,432.95,Electronics,370,7/29/2021,7006,213,2,211.47,46,7/29/2021,Sunday,May,2014,1329,Dustin,Robinson,Male,31,Karachi,Pakistan,271,affect,Home Decor,352,19.93,Larry,Pace,Female,46,Lahore,429,Night,11,321,5,840.32,0.13
47,12/16/2015,5737,250,9,25.08,50.03,Clothing,377,12/16/2015,3573,277,6,490.04,47,12/16/2015,Thursday,July,1989,9337,Robert,Lewis,Female,36,Islamabad,Pakistan,271,power,Beauty,315,25.36,Kelli,Nguyen,Male,49,Faisalabad,434,Day,9,64,1,877.32,0.17
48,7/25/2016,1348,288,4,16.14,296.77,Home Decor,385,7/25/2016,6468,234,10,469.42,48,7/25/2016,Sunday,January,2005,3878,Barbara,Hobbs,Male,24,Karachi,Pakistan,213,collection,Electronics,306,16.05,Matthew,Hoover,Male,21,Islamabad,485,Day,12,32,4,642.55,0.24
49,6/25/2014,9620,226,2,31.72,209.41,Home Decor,305,6/25/2014,5324,297,9,399.19,49,6/25/2014,Thursday,November,2023,5149,Theresa,Sanders,Male,65,Islamabad,Pakistan,201,enter,Electronics,357,16.54,Manuel,Roy,Male,30,Lahore,493,Night,9,347,6,426.76,0.2
50,4/21/2016,8059,259,7,17.52,300.84,Electronics,349,4/21/2016,6642,247,6,431.15,50,4/21/2016,Sunday,September,2011,1023,Mary,Allen,Female,61,Karachi,Pakistan,248,degree,Clothing,398,11.51,Michael,Turner,Female,40,Lahore,458,Night,11,312,7,149.67,0.19
51,11/14/2014,9275,200,5,27,417.8,Home Decor,331,11/14/2014,7876,276,5,120.12,51,11/14/2014,Monday,February,2013,6837,Lonnie,Norman,Female,33,Islamabad,Pakistan,255,style,Home Decor,303,31.28,Gina,Wilson,Male,55,Karachi,415,Night,12,142,9,114.16,0.35
52,9/5/2022,9632,255,7,27.77,435.15,Beauty,371,9/5/2022,4398,277,4,318.9,52,9/5/2022,Saturday,September,1985,7827,Brittney,Murphy,Male,43,Karachi,Pakistan,233,relate,Electronics,348,32.41,Ruben,Lawson,Female,37,Faisalabad,491,Day,5,152,8,924.93,0.3
53,4/17/2022,8626,243,2,33.65,70.74,Clothing,395,4/17/2022,4110,224,9,144.65,53,4/17/2022,Tuesday,August,1987,3348,Martin,Rodriguez,Male,43,Faisalabad,Pakistan,248,level,Beauty,301,42.94,Yvonne,Barron,Male,59,Karachi,404,Night,10,92,5,638.14,0.33
54,4/7/2018,3724,209,3,11.39,344.7,Home Decor,319,4/7/2018,4757,270,3,467.47,54,4/7/2018,Thursday,May,1992,5302,Kimberly,Collins,Female,53,Islamabad,Pakistan,205,also,Beauty,334,31.71,Nicole,Jacobs,Female,65,Lahore,439,Day,10,214,4,331.17,0.23
55,9/27/2015,9271,294,5,40.65,450.24,Electronics,373,9/27/2015,7965,265,7,342.48,55,9/27/2015,Wednesday,May,1999,7041,Heather,Johnson,Male,44,Faisalabad,Pakistan,242,future,Home Decor,395,25.43,Alice,Edwards,Male,35,Karachi,442,Day,5,193,3,719.53,0.38
56,2/11/2015,2963,261,6,30.32,216.06,Electronics,394,2/11/2015,8454,235,6,330.13,56,2/11/2015,Monday,December,2014,9462,Jennifer,Henderson,Female,70,Lahore,Pakistan,241,understand,Electronics,356,31.29,Breanna,Bennett,Male,62,Islamabad,430,Night,4,70,6,169.91,0.15
57,10/27/2014,1981,244,10,27.99,281.12,Home Decor,335,10/27/2014,2116,250,1,56.05,57,10/27/2014,Friday,September,1970,4915,Raymond,White,Female,29,Islamabad,Pakistan,250,tell,Clothing,372,41.03,Richard,Thomas,Female,32,Islamabad,430,Night,12,148,9,127.73,0.19
58,6/8/2018,2461,250,4,29.65,131.94,Clothing,363,6/8/2018,7606,222,4,413.11,58,6/8/2018,Thursday,April,2002,1865,Amy,Franco,Male,67,Karachi,Pakistan,232,actually,Beauty,343,27.39,Benjamin,Martin,Female,52,Karachi,483,Day,8,257,1,122.56,0.49
59,9/5/2016,1967,281,1,10.51,320.83,Home Decor,353,9/5/2016,5468,225,6,301.35,59,9/5/2016,Sunday,June,1974,2525,Gene,Chapman,Male,52,Karachi,Pakistan,235,news,Home Decor,350,22.68,Stephanie,Mclean,Female,47,Islamabad,453,Night,6,248,8,931.74,0.27
60,7/18/2015,9367,291,6,42.73,440.62,Beauty,311,7/18/2015,5012,270,9,494.54,60,7/18/2015,Saturday,January,1993,1669,Jason,Morgan,Male,36,Karachi,Pakistan,207,organization,Electronics,327,31.87,Elizabeth,Macias,Male,42,Islamabad,461,Night,9,359,6,684.46,0.22
61,1/29/2018,8624,231,5,6.75,419.6,Electronics,317,1/29/2018,2580,215,9,302.33,61,1/29/2018,Monday,February,1984,2961,Daniel,Wright,Female,64,Faisalabad,Pakistan,231,author,Beauty,309,18.06,Adam,Walker,Female,28,Karachi,487,Night,8,169,1,232.92,0.43
62,8/6/2021,2270,278,3,33.61,174.55,Electronics,385,8/6/2021,5415,261,8,303.31,62,8/6/2021,Tuesday,April,2022,5318,Tracy,Ferguson,Male,45,Faisalabad,Pakistan,221,live,Home Decor,327,45.06,Jeffrey,Rocha,Male,34,Faisalabad,492,Day,4,125,3,871.73,0.16
63,4/19/2024,7016,275,7,33.72,384.92,Beauty,396,4/19/2024,8848,238,1,238.42,63,4/19/2024,Saturday,March,1989,7502,Tiffany,Zimmerman,Male,47,Islamabad,Pakistan,275,peace,Electronics,325,37.41,Latoya,Owens,Male,50,Lahore,402,Night,4,349,2,597.69,0.49
64,8/28/2021,7242,222,3,21.3,55.33,Clothing,349,8/28/2021,6613,250,9,55.22,64,8/28/2021,Sunday,February,1970,1021,Ronald,Gutierrez,Female,55,Islamabad,Pakistan,251,TRUE,Electronics,371,6.48,Michael,Sanchez,Male,38,Karachi,477,Night,6,36,1,375.38,0.11
65,10/1/2018,6400,210,3,31,445.61,Beauty,335,10/1/2018,1213,288,8,435.79,65,10/1/2018,Wednesday,December,1991,2807,Jon,Parker,Female,35,Lahore,Pakistan,267,serve,Clothing,383,26.58,William,Morgan,Male,18,Karachi,434,Day,11,167,4,143.08,0.15
66,8/4/2022,4909,200,10,29.37,342.79,Beauty,302,8/4/2022,9032,249,8,444.22,66,8/4/2022,Saturday,September,2007,1344,Michelle,Padilla,Female,66,Karachi,Pakistan,209,country,Clothing,384,37.53,Allison,Saunders,Female,58,Karachi,403,Night,4,108,6,479.89,0.18
67,3/27/2021,1359,229,8,23.36,258.66,Clothing,381,3/27/2021,3583,236,9,399.38,67,3/27/2021,Sunday,February,2002,8947,Jennifer,Rosario,Male,28,Islamabad,Pakistan,221,three,Electronics,396,20.79,Kimberly,Hays,Female,38,Islamabad,444,Day,9,236,10,155.22,0.33
68,6/30/2016,7390,243,10,36.24,284.1,Home Decor,347,6/30/2016,3145,286,5,363.88,68,6/30/2016,Saturday,February,2023,9025,Jesus,Chan,Male,28,Karachi,Pakistan,255,pass,Electronics,371,9.34,Karen,Gonzales,Female,31,Islamabad,408,Day,12,204,8,356.23,0.26
69,7/2/2022,8736,286,1,21.55,375.89,Beauty,349,7/2/2022,3007,259,6,167.27,69,7/2/2022,Friday,July,1986,6658,Lindsey,Johnston,Male,24,Faisalabad,Pakistan,228,hair,Electronics,312,38.53,Rachel,Watson,Male,43,Karachi,442,Night,11,114,3,659.25,0.43
70,3/27/2021,8515,252,7,40.98,440.85,Home Decor,352,3/27/2021,9539,284,7,181.39,70,3/27/2021,Wednesday,July,1998,3636,John,Mitchell,Male,51,Lahore,Pakistan,294,former,Beauty,310,19.41,Robert,Clay,Female,50,Karachi,478,Night,4,220,6,239.31,0.11
71,12/16/2018,4461,260,9,33.19,50.95,Clothing,325,12/16/2018,1809,295,5,294.46,71,12/16/2018,Saturday,June,1988,5783,Teresa,Anderson,Female,20,Karachi,Pakistan,271,but,Clothing,333,32.98,Cassidy,Meyer,Male,48,Karachi,467,Night,10,216,1,720.29,0.14
72,7/21/2021,5304,259,10,26.35,368.74,,318,7/21/2021,7782,239,10,448.33,72,7/21/2021,Sunday,November,1992,9830,Leah,Berry,Male,50,Faisalabad,Pakistan,215,left,Beauty,329,40.32,Patricia,Duncan,Male,40,Lahore,441,Day,11,11,10,556.24,0.4
73,2/5/2015,4045,201,4,6.38,60.12,Clothing,314,2/5/2015,8943,245,9,352.56,73,2/5/2015,Monday,June,1975,3974,Timothy,Goodman,Male,50,Faisalabad,Pakistan,254,weight,Electronics,364,17.51,Louis,Cox,Female,44,Karachi,487,Night,7,127,8,196.62,0.37
74,1/3/2015,4592,216,5,46.57,117.06,Beauty,348,1/3/2015,2667,299,5,223.05,74,1/3/2015,Thursday,July,2006,4080,Diane,Ayala,Male,67,Karachi,Pakistan,239,financial,Beauty,328,29.35,Elizabeth,Gibson,Male,38,Karachi,481,Day,4,38,3,447.14,0.28
75,5/3/2014,9058,245,3,37.86,121.3,Beauty,381,5/3/2014,9494,243,7,57.44,75,5/3/2014,Thursday,December,2024,8539,Paul,Lewis,Female,28,Lahore,Pakistan,234,apply,Clothing,394,44.11,Regina,Adams,Male,34,Faisalabad,406,Night,5,66,9,667.24,0.15
76,4/29/2023,2806,215,10,22.71,486.21,Home Decor,310,4/29/2023,7722,228,8,435.62,76,4/29/2023,Wednesday,January,2004,4695,Allen,Peterson,Female,38,Faisalabad,Pakistan,292,finish,Home Decor,342,10.1,Rebecca,Williams,Male,37,Karachi,448,Day,12,293,5,375.62,0.31
77,11/11/2015,3097,263,4,7.15,338.78,Home Decor,387,11/11/2015,7624,204,5,437.7,77,11/11/2015,Tuesday,January,1984,1878,Darren,Rush,Female,36,Lahore,Pakistan,203,push,Electronics,383,13.46,April,Rogers,Male,48,Faisalabad,466,Day,7,24,1,682.12,0.35
78,4/20/2017,5491,257,8,16.17,126.33,Beauty,340,4/20/2017,4964,235,4,394.63,78,4/20/2017,Saturday,February,1976,3918,Carmen,Johnson,Male,35,Islamabad,Pakistan,279,kid,Clothing,326,36.42,Colleen,Mercado,Male,49,Karachi,404,Night,8,208,6,588.48,0.11
79,12/13/2018,6840,271,8,12.49,129.52,Electronics,313,12/13/2018,8133,250,10,215.27,79,12/13/2018,Tuesday,September,1996,8983,Monica,Villarreal,Female,46,Karachi,Pakistan,222,each,Home Decor,306,13.06,Katherine,Smith,Female,69,Faisalabad,407,Day,4,319,4,574.51,0.18
80,11/14/2021,2000,252,5,29.31,87.41,Beauty,314,11/14/2021,9216,265,4,125.6,80,11/14/2021,Tuesday,February,1989,3593,Tasha,Nelson,Male,67,Karachi,Pakistan,252,anything,Clothing,363,5.12,Catherine,Wolf,Male,69,Faisalabad,485,Night,6,78,9,505.2,0.23
81,6/8/2023,6445,293,3,49.91,102.02,Clothing,388,6/8/2023,1356,201,3,99.48,81,6/8/2023,Wednesday,April,2014,7230,Kenneth,Ellis,Female,21,Lahore,Pakistan,220,whatever,Beauty,395,21.2,Kevin,Tran,Female,34,Lahore,459,Night,12,356,8,569.82,0.37
82,11/10/2018,2206,282,1,27.25,368.17,Beauty,305,11/10/2018,5024,259,10,192.86,82,11/10/2018,Friday,November,1977,3089,Gary,Jones,Male,54,Lahore,Pakistan,237,close,Beauty,337,47.34,Randy,Phillips,Male,60,Faisalabad,439,Night,12,219,2,134.81,0.11
83,2/3/2022,2517,212,7,36.14,380.13,Electronics,317,2/3/2022,6377,296,7,245.07,83,2/3/2022,Saturday,February,2019,4546,Michelle,Rodriguez,Female,42,Lahore,Pakistan,235,nation,Clothing,368,41.99,Brittney,Cuevas,Male,20,Faisalabad,495,Night,7,265,4,178.39,0.21
84,6/6/2021,6246,253,10,48.76,432.38,Clothing,386,6/6/2021,9971,229,8,309.03,84,6/6/2021,Saturday,August,1993,8769,William,Flores,Female,34,Faisalabad,Pakistan,226,about,Electronics,369,25.8,Lisa,Francis,Female,46,Lahore,477,Night,4,182,2,221.01,0.42
85,3/3/2017,6437,220,10,35.55,196.86,Home Decor,340,3/3/2017,6757,291,8,428.79,85,3/3/2017,Monday,October,1972,8445,Gregory,Walls,Male,22,Karachi,Pakistan,250,those,Clothing,363,44.26,Stephanie,Davis,Female,57,Faisalabad,486,Day,4,224,6,628.07,0.25
